
105第1季 0.30元
105第2季 -0.37元
105第3季 0.15元
105第4季 0.61元
106第1季 -0.07元
106第2季 -0.31元
106第3季 0.13元
106第4季 0.29元
107第1季 0.31元
107第2季 -0.47元
107第3季 -0.17元
