
104第4季 -0.02元
105第1季 -0.31元
105第2季 -0.30元
105第3季 0.00元
105第4季 -0.19元
106第1季 0.57元
106第2季 1.28元
106第3季 0.27元
106第4季 0.48元
107第1季 0.41元
107第2季 0.45元
107第3季 0.61元
107第4季 0.12元
108第1季 0.11元
108第2季 0.23元
108第3季 0.06元
108第4季 0.21元
109第1季 0元
109第2季 0.14元
