
104第4季 -0.15元
105第1季 -0.04元
105第2季 0.02元
105第3季 0.22元
105第4季 0.05元
106第1季 -0.08元
106第2季 0.09元
106第3季 0.08元
106第4季 1.12元
107第1季 0.1元
107第2季 1.33元
