
104第4季 -0.39元
105第1季 -0.11元
105第2季 -0.28元
105第3季 -0.33元
105第4季 0.07元
106第1季 0.52元
106第2季 0.01元
106第3季 1.14元
106第4季 0.33元
107第1季 0.69元
107第2季 0.56元
