106 1,055,389 912,979 1,264,900 1,195,189 1,234,423 1,223,355 1,235,586 1,297,948 1,362,110 1,239,819 1,342,152 1,273,681 
107 1,368,146 802,621 1,336,080 1,315,185 1,438,700 1,319,154 1,435,172 1,433,476 1,310,802 1,484,606 1,445,613 1,342,014 
