106 45,313,514 25,533,571 41,887,676 31,531,817 29,511,914 35,249,512 45,511,544 31,527,565 31,981,133 26,758,450 26,710,617 34,411,301 
107 50,454,693 27,248,276 34,473,767 36,125,019 34,783,163 24,911,889 46,317,490 39,587,852 34,829,883 32,645,839 28,599,422 21,552,859 
108 55,879,043 26,113,779 27,271,092 35,599,414 41,763,775 7,598,999 61,197,268 49,689,070 37,085,675 30,427,876 36,398,049 39,045,857 
109 57,452,927 36,950,131 38,858,403 35,073,779 36,536,192 - - - - - - - 
