105 1,875,931 1,546,434 1,947,791 1,847,924 1,924,030 2,004,309 2,043,448 2,198,948 2,088,660 1,965,738 1,982,767 1,739,086 
106 1,739,205 1,521,665 1,709,474 1,676,770 1,617,235 1,626,273 1,790,873 2,108,433 2,252,564 2,484,554 2,073,660 1,734,780 
107 2,056,636 1,397,628 1,797,493 1,836,374 2,060,568 1,905,397 2,186,086 2,199,227 2,029,655 2,191,449 2,017,333 2,050,083 
