
104第4季 -0.29元
105第1季 -0.37元
105第2季 -0.46元
105第3季 -0.26元
105第4季 -0.86元
106第1季 0.81元
106第2季 -0.08元
106第3季 -0.04元
106第4季 -2.5元
107第1季 -0.1元
107第2季 -0.38元
