
105第3季 3.33% -16.03% -24.03% -0.51% -1.21% 13.97元
105第4季 33.54% 15.28% 23.51% 1.26% 1.81% 14.26元
106第1季 4.14% -12.33% -10.69% -0.30% -0.73% undefined
106第2季 4.38% -13.85% -9.07% 0.00% -0.66% undefined
106第3季 1.88% -15.96% -13.87% 0.00% -0.79% undefined
106第4季 21.55% 3.62% 13.08% 0.94% 1.38% 14.4元
107第1季 16.93% 4.57% 5.1% 0% 0.39% 14.46元
107第2季 23.87% 14.15% 16.77% 1.21% 2.09% 14.85元
107第3季 17.55% 5.31% 6.38% 0.17% 0.16% 14.83元
107第4季 3.26% -9.78% -8.77% -0.76% -1.54% 14.65元
108第1季 10.58% -15.82% -13.47% -0.18% -0.46% 14.58元
108第3季 30.45% 20.64% 21.95% 1.62% 3.06% 14.72元
