
104第4季 -0.37元
105第1季 0.03元
105第2季 0.07元
105第3季 -0.36元
105第4季 -0.11元
106第1季 0.02元
106第2季 0.52元
106第3季 0.24元
106第4季 -0.19元
107第1季 0.27元
107第2季 0.32元
107第3季 1.51元
107第4季 -0.83元
108第1季 2.41元
108第2季 0.29元
108第3季 0.14元
108第4季 -0.13元
109第1季 0.76元
