105 - - - 216,309 197,389 183,189 - - - - - - 
106 - - - 179,017 216,104 154,203 222,707 247,944 222,610 221,120 194,607 123,129 
107 164,367 233,674 302,970 270,014 280,121 205,423 256,232 278,167 227,383 - - - 
