
105第1季 0.30元
105第2季 0.47元
105第3季 0.06元
105第4季 0.61元
106第1季 0.24元
106第2季 0.46元
106第3季 0.47元
106第4季 0.2元
107第1季 0.03元
107第2季 0.17元
107第3季 0.18元
107第4季 -0.68元
108第1季 -0.37元
108第2季 1.86元
108第3季 0.14元
108第4季 -2.09元
109第1季 -0.43元
109第2季 -0.34元
