105 109,417 91,482 161,535 119,150 133,670 121,136 127,153 110,883 163,402 154,937 190,326 224,281 
106 89,648 151,428 227,361 105,338 105,686 160,346 173,691 119,961 153,061 201,407 159,855 95,564 
107 120,825 69,374 139,414 127,061 123,442 112,030 111,957 119,082 98,856 117,190 117,069 117,518 
108 210,728 144,949 168,462 255,919 387,778 317,933 212,098 171,178 175,707 186,680 166,767 303,578 
