105 98,531 138,930 97,638 7,071 221,016 10,942 10,669 10,750 10,807 10,681 45,341 17,454 
106 10,686 10,484 170,570 10,731 10,959 10,952 10,726 10,837 21,429 10,896 11,054 15,049 
107 10,731 11,970 11,302 11,337 11,340 11,760 11,743 15,434 11,681 11,242 11,751 18,045 
108 11,731 11,653 11,966 11,562 11,454 43,323 11,575 11,677 11,697 11,564 11,356 14,269 
