
104第4季 -0.34元
105第1季 -0.07元
105第2季 -0.14元
105第3季 -0.20元
105第4季 -0.18元
106第1季 -0.27元
106第2季 0.21元
106第3季 -0.16元
106第4季 -0.27元
107第1季 -0.12元
