
104第4季 -0.01元
105第1季 -0.17元
105第2季 0.25元
105第3季 0.45元
105第4季 0.61元
106第1季 0.06元
106第2季 0.27元
106第3季 0.65元
106第4季 0.27元
107第1季 -0.2元
