105 1,846,385 1,744,263 1,878,546 1,851,844 1,844,655 1,730,664 1,770,747 1,931,852 1,931,850 1,786,395 1,769,982 1,961,729 
106 1,873,229 1,638,906 1,841,703 1,758,378 1,842,870 1,737,509 1,883,839 2,075,232 2,231,129 2,025,092 1,972,563 2,143,118 
107 2,019,243 2,006,290 2,115,654 2,013,213 2,122,339 2,004,353 2,028,864 2,010,299 1,944,955 1,963,527 1,862,967 2,036,986 
