105 147,103 88,785 132,509 70,789 99,083 118,657 147,995 183,973 255,634 123,840 191,827 211,518 
106 104,346 73,356 187,952 150,371 116,415 165,012 108,561 112,628 127,935 93,158 157,045 146,825 
107 61,638 84,378 110,243 206,663 101,771 160,219 124,430 161,430 94,078 90,768 58,816 99,369 
108 103,693 49,067 152,214 97,785 65,231 76,476 69,152 68,732 126,144 66,520 82,423 101,545 
