
104第4季 -0.83元
105第1季 -0.19元
105第2季 -1.22元
105第3季 -1.10元
105第4季 -1.64元
106第1季 -0.60元
106第2季 -0.32元
106第3季 -0.20元
106第4季 0.95元
107第1季 0.04元
107第2季 -0.17元
107第3季 -0.57元
107第4季 0.96元
