105 45,419 48,283 40,205 40,017 90,304 121,678 113,134 107,363 72,980 101,775 77,997 110,497 
106 108,301 108,129 89,523 84,936 110,504 91,665 117,829 111,113 96,230 112,234 78,278 62,831 
107 64,755 79,779 62,480 62,972 69,776 70,242 83,517 82,414 235,521 65,272 58,929 85,905 
