
104第4季 0.94元
105第1季 0.17元
105第2季 0.22元
105第3季 0.12元
105第4季 0.44元
106第1季 -0.06元
106第2季 0.28元
106第3季 0.24元
106第4季 -0.13元
107第1季 0.06元
107第2季 0.77元
107第3季 0.12元
107第4季 0.7元
108第1季 1.03元
108第2季 0.09元
108第3季 0.46元
108第4季 0.27元
