
104第4季 -0.41元
105第1季 -0.28元
105第2季 -0.22元
105第3季 0.73元
105第4季 1.03元
106第1季 0.57元
106第2季 0.32元
106第3季 0.67元
106第4季 0.52元
107第1季 0.27元
107第2季 0.26元
107第3季 0.16元
107第4季 -0.37元
108第1季 0.06元
