
104第4季 -0.27元
105第1季 -0.33元
105第2季 -0.25元
105第3季 0.09元
105第4季 0.18元
106第1季 0.02元
106第2季 0.05元
106第3季 -0.41元
106第4季 -0.82元
107第1季 -1.03元
107第2季 -0.65元
107第3季 -0.23元
107第4季 -1.63元
108第1季 -0.41元
108第2季 0.19元
108第3季 0.12元
108第4季 0.18元
