
105第3季 54.02% -3.05% -4.05% -0.63% -1.00% 24.04元
105第4季 55.34% -2.61% -0.66% 0.55% 0.84% 24.30元
106第1季 55.86% -9.14% -10.73% -1.57% -2.40% undefined
106第2季 56.85% -12.49% -11.33% 0.00% -2.34% undefined
106第3季 57.00% -8.07% -7.32% -0.57% -0.88% undefined
106第4季 62.63% 8.92% 7.86% 1.23% 1.85% 23.46元
107第1季 61.15% 2.24% 1.36% 0.49% 0.71% 23.63元
107第2季 62.16% -0.35% 1.63% 0.17% 0.24% 23.43元
107第3季 57.1% -5.75% -3.71% -0.54% -0.8% 23.23元
107第4季 65.65% 4.03% 4.52% 0.5% 0.72% 23.49元
108第1季 58.79% -2.81% -0.49% 0.1% -0.01% 23.5元
108第2季 60.84% -8.11% -7.27% -0.68% -1.36% 22.76元
108第3季 0% 0% 0% 0% 0% 0元
108第4季 53.95% -2.77% -2.28% -0.15% -0.5% 22.27元
109第1季 52.65% -22.03% -25.71% -2.51% -4.67% 21.28元
109第2季 46.37% -24.15% -14.85% -1.08% -2.1% 20.68元
