
104第4季 -0.25元
105第1季 0.18元
105第2季 0.72元
105第3季 0.22元
105第4季 0.28元
106第1季 0.40元
106第2季 0.34元
106第3季 0.37元
106第4季 0.16元
107第1季 -0.13元
107第2季 -0.31元
107第3季 0.04元
