
105第3季 25.31% -0.47% 16.46% 3.59% 5.34% 50.65元
105第4季 27.16% 1.98% 6.48% 0.00% 1.44% 51.74元
106第1季 27.41% 3.22% 9.62% 1.82% 2.60% undefined
106第2季 27.89% 4.07% 6.50% 0.00% 1.98% undefined
106第3季 25.87% 2.54% 8.14% 1.72% 2.62% undefined
106第4季 26.48% 3.02% 6.86% 1.57% 2.36% 49.88元
107第1季 26.42% 4.06% 9.18% 0% 2.56% 55.31元
107第2季 26.66% 4.71% 12.1% 2.73% 3.94% 52.35元
107第3季 24.6% 2.76% 2.96% 0.57% 0.81% 53.04元
107第4季 25.65% 2.77% 2.3% 0.49% 0.69% 53.36元
108第1季 0% 0% 0% 0% 0% 0元
108第2季 26.21% 4.63% 7.59% 1.7% 2.57% 51.06元
108第3季 23.46% 2.98% 5.77% 1.44% 2.22% 52.32元
