
104第4季 -0.25元
105第1季 0.10元
105第2季 0.13元
105第3季 0.12元
105第4季 -0.07元
106第1季 0.09元
106第2季 -0.10元
106第3季 0.21元
106第4季 -0.17元
107第1季 0.03元
107第2季 0.01元
