
105第1季 -0.09元
105第2季 -0.31元
105第3季 -0.28元
105第4季 -1.27元
106第1季 -0.39元
106第2季 -0.34元
106第3季 -0.36元
106第4季 -0.51元
107第1季 -0.33元
107第2季 -0.59元
107第3季 -0.7元
107第4季 -0.97元
108第1季 -0.21元
108第2季 -0.45元
108第3季 -0.27元
108第4季 -0.37元
