
105第3季 9.52% 0.80% 0.61% 0.18% 0.39% 20.63元
105第4季 9.02% 0.22% -9.63% -3.52% -9.54% 19.01元
106第1季 9.68% 0.81% -0.10% 0.06% 0.11% undefined
106第2季 11.35% 1.85% 0.55% 0.00% 0.44% undefined
106第3季 11.06% 1.54% 2.97% 0.00% 2.58% undefined
106第4季 10.66% 1.92% 2.09% 0.69% 1.81% 18.92元
107第1季 10.51% 1% 1.87% 0.47% 1.16% 18.95元
107第2季 11% 1.59% 2.03% 0.6% 1.48% 18.94元
107第3季 10.55% 1.79% 1.82% 0.58% 1.51% 19.05元
107第4季 10.59% 1.71% 1.34% 0.33% 0.83% 19.24元
108第1季 10.55% 1.01% 1.69% 0.49% 1.18% 19.6元
108第3季 10.6% 1.23% 2.49% 0.75% 2.01% 19.29元
108第4季 10.31% 1.89% 1% 0.18% 0.42% 19.1元
109第1季 10.13% 0.04% 1.6% 0.39% 0.95% 18.36元
109第2季 10.88% 3.24% 2.51% 0.83% 2.16% 18.55元
