105 128,441 99,793 129,448 138,357 129,849 134,023 138,924 149,784 135,928 132,290 126,037 103,116 
106 93,819 108,037 128,315 129,787 139,704 149,610 137,447 153,234 124,204 132,615 124,818 115,841 
107 101,763 102,967 84,090 86,943 101,779 120,855 66,217 71,620 85,972 135,151 141,594 109,993 
