
105第3季 23.21% 4.18% 0.45% 0.08% 0.09% 13.26元
105第4季 27.30% -0.84% 4.68% 0.46% 0.54% 13.23元
106第1季 29.91% 3.73% -3.77% -0.56% -0.64% undefined
106第2季 0.00% 0.00% 0.00% 0.00% 0.00% undefined
106第3季 27.32% 6.83% 6.54% 0.91% 1.07% undefined
106第4季 36.69% 5.48% 3.93% 0.43% 0.51% 13.16元
107第1季 18.2% -8.35% -11.8% 0% -0.99% 13.05元
107第2季 20.23% 4.12% 9.3% 0.99% 1.18% 12.98元
107第3季 19.11% 0.06% 2.7% 0.36% 0.42% 12.84元
107第4季 21.71% 1.95% 2.22% 0.29% 0.33% 12.95元
108第1季 18.28% -2.7% 2.41% 0.28% 0.31% 13.12元
108第2季 19.63% 0.52% 3.98% 0.28% 0.32% 12.84元
108第3季 21.41% 4.11% 7.88% 1.11% 1.36% 12.68元
108第4季 16.89% -4.45% -6% -0.4% -0.53% 12.43元
