
104第4季 0.31元
105第1季 0.15元
105第2季 -0.12元
105第3季 -0.26元
105第4季 0.01元
106第1季 -0.41元
106第2季 -0.30元
106第3季 -0.07元
106第4季 0.13元
107第1季 -0.1元
107第2季 -0.13元
