
104第4季 0.21元
105第1季 0.16元
105第2季 0.06元
105第3季 0.90元
105第4季 0.47元
106第1季 0.00元
106第2季 0.03元
106第3季 0.99元
106第4季 -0.12元
107第1季 -0.04元
107第2季 -0.05元
107第3季 1.56元
107第4季 -0.27元
108第1季 0.02元
108第2季 2.51元
108第3季 1.4元
108第4季 -0.29元
109第1季 0.05元
109第2季 27.38元
