
106第3季 9.45% 5.44% 5.66% 0.75% 1.31% 19.41元
106第4季 13.52% 9.36% 9.48% 1.24% 2.27% 19.67元
107第1季 10.29% 6.47% 6.14% 0.93% 1.63% 19.91元
107第2季 12.48% 8.74% 8.12% 1.23% 2.27% 19.62元
107第3季 13.84% 9.95% 9.46% 1.3% 2.43% 20.16元
107第4季 11.98% 8.2% 7.99% 1.08% 1.95% 20.25元
108第1季 9.63% 5.46% 5.33% 0.71% 1.2% 20.51元
108第2季 9.73% 5.59% 5.69% 0.7% 1.23% 20.02元
108第3季 7.03% 2.88% 3.41% 0.47% 0.78% 19.95元
108第4季 3.49% -0.7% -0.97% -0.02% -0.21% 19.58元
109第1季 1.17% -3.05% -3.29% -0.23% -0.65% 19.07元
