105 95,535 64,332 106,958 99,593 91,316 100,217 112,251 119,958 108,464 110,591 135,630 132,915 
106 136,543 86,518 98,716 107,976 108,371 70,662 88,147 85,462 102,371 95,941 94,661 97,328 
107 94,642 85,477 92,193 101,056 92,656 116,211 136,806 95,132 78,431 80,946 76,980 77,831 
