
105第4季 24.87% 6.18% 11.14% 3.10% 7.04% 16.00元
106第1季 22.19% 2.03% -1.65% -0.46% -1.18% undefined
106第2季 24.28% 5.13% 4.99% 0.00% 2.66% undefined
106第3季 23.93% 6.08% 4.29% 0.00% 3.37% undefined
106第4季 21.42% 3.58% -0.94% -0.43% -1.17% 14.18元
107第1季 17.38% -1.79% -5.48% -1.4% -3.68% 13.86元
107第2季 18.4% 1.61% 5.53% 1.48% 3.73% 13.98元
107第3季 22.41% 6.81% 8.56% 2.79% 6.7% 0元
107第4季 21.82% 7.18% 7.78% 1.84% 4.37% 16.11元
108第1季 0% 0% 0% 0% 0% 0元
108第3季 0% 0% 0% 0% 0% 0元
108第4季 22.59% 9.87% 8.43% 2% 5.11% 18.41元
