
104第4季 -0.42元
105第1季 -0.28元
105第2季 -3.70元
105第3季 -0.99元
105第4季 -0.58元
106第1季 -0.82元
106第2季 -0.35元
106第3季 -0.40元
106第4季 0.72元
107第1季 0.21元
107第2季 1.09元
107第3季 2.77元
107第4季 -0.31元
108第1季 0.01元
108第2季 -0.18元
108第3季 0.54元
108第4季 0.07元
109第1季 -0.02元
109第2季 0.09元
