
104第4季 -0.26元
105第1季 -0.24元
105第2季 0.10元
105第3季 -0.08元
105第4季 0.27元
106第1季 -0.30元
106第2季 0.02元
106第3季 0.13元
106第4季 0.16元
107第1季 -0.37元
107第2季 0.11元
