
105第3季 15.48% 8.58% -7.43% -1.37% -10.01% 5.02元
105第4季 20.69% 7.59% 16.85% 0.00% 6.44% 5.33元
106第1季 27.23% 12.44% -16.41% -0.61% -5.26% undefined
106第2季 23.18% 9.30% -0.23% 0.00% -0.96% undefined
106第3季 26.66% 14.98% 2.25% 0.44% 0.84% undefined
106第4季 22.42% 9.89% -1.68% -1.03% -7.74% 4.68元
107第1季 18.03% 4.23% -2.76% 0% -1.66% 4.61元
107第2季 22.59% 9.06% 3.04% 0.4% 0.72% 4.63元
107第3季 23.29% 12.06% 2.03% 0.35% 0.35% 4.64元
107第4季 14.13% -0.55% -9.34% -0.81% -6.51% 4.33元
108第1季 13.04% 0.53% -9.52% -0.44% -4.78% 4.13元
108第2季 18.33% 3.95% -7.53% -0.35% -4.5% 3.95元
108第3季 19.91% 6.86% -3.49% -0.04% -2.44% 3.85元
108第4季 25.46% 10.9% -0.51% 0.15% -1.08% 3.79元
