
104第4季 -0.34元
105第1季 0.14元
105第2季 0.60元
105第3季 0.31元
105第4季 0.40元
106第1季 0.51元
106第2季 0.12元
106第3季 0.11元
106第4季 0.04元
107第1季 0.03元
107第2季 0.09元
107第3季 0.35元
107第4季 -0.31元
108第1季 -0.29元
108第2季 -0.14元
