
104第4季 -4.50元
105第1季 0.06元
105第2季 -0.01元
105第3季 -1.10元
105第4季 -1.64元
106第1季 0.07元
106第2季 0.28元
106第3季 -0.15元
106第4季 -0.07元
107第1季 -0.25元
