105 115,247 117,264 117,848 195,154 132,638 340,554 74,668 345,365 66,858 534,410 132,134 143,569 
106 305,961 103,786 123,783 175,630 108,701 113,295 97,202 93,955 83,062 168,663 81,708 111,362 
107 58,041 71,861 55,333 117,664 61,841 52,206 106,107 71,102 34,452 505,864 409,498 88,449 
