105 1,074,138 721,117 1,172,505 1,071,448 1,081,986 1,063,296 1,124,983 1,217,410 1,191,473 1,089,662 1,166,869 1,188,795 
106 1,009,684 849,246 1,281,413 979,059 1,049,438 1,144,922 1,031,070 1,120,694 1,249,121 1,114,810 1,194,485 1,086,838 
107 1,167,792 784,965 1,402,819 1,307,325 1,480,356 1,520,248 1,694,421 1,719,674 1,638,197 1,420,352 1,348,818 858,419 
108 1,102,640 785,605 1,143,042 1,201,544 1,330,523 1,227,446 1,267,815 1,317,554 1,454,449 1,397,822 1,369,427 998,142 
