2018/7/11 2115 六暉-KY 20 0
2018/7/12 2115 六暉-KY 19 0
2018/7/13 2115 六暉-KY 17 0
2018/7/14 1104 環泥 17 0
2018/7/17 1104 環泥 16 0
2018/7/18 1307 三芳 17 0
2018/7/19 1307 三芳 15 0
2018/7/20 1307 三芳 17 0
2018/7/21 1307 三芳 17 0
2018/7/24 1307 三芳 18 0
2018/7/25 1307 三芳 18 0
2018/7/26 1307 三芳 18 0
2018/7/27 2115 六暉-KY 13 0
2018/7/28 2115 六暉-KY 15 0
2018/8/1 2115 六暉-KY 12 0
2018/8/2 2115 六暉-KY 14 0
2018/8/3 2115 六暉-KY 13 0
2018/8/4 6166 凌華 12 0
2018/8/7 6166 凌華 16 0
2018/8/8 6166 凌華 16 0
2018/8/9 6166 凌華 18 0
2018/8/10 2449 京元電子 17 0
2018/8/11 2449 京元電子 16 0
2018/8/14 1340 勝悅-KY 17 0
2018/8/15 2449 京元電子 16 0
2018/8/16 2449 京元電子 17 0
2018/8/17 8411 福貞-KY 18 0
2018/8/18 8411 福貞-KY 20 0
2018/8/21 8411 福貞-KY 20 0
2018/8/22 8411 福貞-KY 21 0
2018/8/23 8411 福貞-KY 20 0
2018/8/24 8411 福貞-KY 18 0
2018/8/25 8411 福貞-KY 18 0
2018/8/28 8411 福貞-KY 21 0
2018/8/29 2727 王品 20 0
2018/8/30 1568 倉佑 20 0
2018/8/31 1568 倉佑 16 0
2018/9/4 6205 詮欣 15 0
2018/9/5 6205 詮欣 17 0
2018/9/6 6205 詮欣 17 0
2018/9/7 6205 詮欣 20 0
