2399 映泰 2018/10/09 61 2 BB 11.20 13.94 6.64 13.02 21.60 6.64 13.02 False 92 2018/12/04 11.2 2018/10/10 
3706 神達 2018/10/10 18 2 BB 26.85 20.07 13.18 27.68 17.56 13.18 27.68 False 45 2018/11/03 28.55 2018/12/04 
2545 皇翔 2018/10/10 77 2 BB 27.70 54.31 49.79 21.26 17.56 49.79 21.26 False 78 2018/10/12 27.7 2018/10/12 
2855 統一證 2018/10/10 30 2 BB 14.00 17.15 33.30 23.97 17.56 33.30 23.97 False 48 2018/12/22 14 2018/10/12 
1444 力麗 2018/10/10 20 2 BB 10.45 21.29 47.38 26.89 17.56 47.38 26.89 False 51 2018/11/06 10.5 2018/12/05 
2365 昆盈 2018/10/12 91 1 B 8.61 4.51 7.13 26.21 11.92 7.13 26.21 False 93 2018/11/10 9.39 2018/12/01 
6139 亞翔 2018/10/13 18 1 B 26.10 14.84 24.70 22.44 15.63 24.70 22.44 False 38 2018/10/26 28.3 2018/10/20 
8110 華東 2018/10/16 21 1 B 10.75 20.29 16.30 20.96 14.46 16.30 20.96 False 56 2018/11/21 11.15 2019/01/17 
2355 敬鵬 2018/10/16 54 2 BB 33.70 18.46 29.84 9.24 14.46 29.84 9.24 False 72 2018/10/31 39.15 2018/12/01 
8039 台虹 2018/10/17 55 1 B 32.00 34.81 12.88 13.09 16.39 12.88 13.09 False 107 2018/11/13 37.85 2018/12/04 
2504 國產 2018/10/17 27 2 BB 8.70 23.22 20.00 33.93 16.39 20.00 33.93 False 34 2018/10/20 8.97 2018/12/06 
6168 宏齊 2018/10/17 74 1 B 12.30 29.55 18.92 21.66 16.39 18.92 21.66 False 95 2018/10/24 13.85 2018/12/05 
2449 京元電子 2018/10/19 40 1 B 19.25 34.45 18.15 9.01 19.81 18.15 9.01 False 54 2018/10/31 23.85 2018/12/26 
3028 增你強 2018/10/23 14 1 B 20.15 18.95 17.60 34.89 24.19 17.60 34.89 False 51 2018/12/14 21.7 2018/12/13 
3031 佰鴻 2018/10/24 81 1 B 10.05 71.16 23.40 15.17 18.28 23.40 15.17 False 80 2018/10/25 11.55 2018/12/05 
3050 鈺德 2018/10/25 194 1 B 8.50 76.05 27.07 19.44 18.84 27.07 19.44 False 394 2018/11/03 10.2 2018/12/20 
1312 國喬 2018/10/27 26 1 B 20.20 6.83 19.37 37.48 13.97 19.37 37.48 False 29 2019/01/18 24.3 2018/12/08 
1409 新纖 2018/10/27 22 1 B 10.10 8.42 10.67 58.11 13.97 10.67 58.11 False 23 2018/10/30 12.25 2018/12/23 
3481 群創 2018/10/31 64 2 BB 9.42 46.35 12.73 11.72 16.50 12.73 11.72 False 80 2018/11/20 10.6 2018/12/05 
2618 長榮航 2018/10/31 58 1 B 13.95 46.50 18.22 30.82 16.50 18.22 30.82 False 65 2018/12/07 16.15 2018/12/01 
1909 榮成 2018/11/01 47 2 BB 15.75 20.02 8.58 9.31 33.94 8.58 9.31 False 105 2018/11/24 17.5 2018/12/04 
3062 建漢 2018/11/01 69 1 C 12.20 22.44 9.39 12.80 33.94 9.39 12.80 False 69 2018/11/02 16.7 2018/12/13 
1455 集盛 2018/11/02 41 1 B 9.02 25.21 18.33 15.12 47.99 18.33 15.12 False 105 2018/11/10 9.36 2018/12/04 
3703 欣陸 2018/11/06 5 1 B 13.20 38.07 34.68 19.03 75.53 34.68 19.03 False 12 2018/11/14 14.4 2018/12/14 
1714 和桐 2018/11/06 50 1 B 6.75 31.27 15.63 10.87 75.53 15.63 10.87 False 77 2018/11/20 6.98 2018/11/09 
2485 兆赫 2018/11/08 85 1 B 17.35 79.93 24.38 14.23 85.27 24.38 14.23 False 122 2018/11/16 21 2019/01/10 
1440 南紡 2018/11/09 62 2 BB 12.35 74.76 20.26 18.55 86.03 20.26 18.55 False 73 2019/01/09 12.65 2018/12/04 
