
104第4季 -0.07元
105第1季 -0.04元
105第2季 -0.04元
105第3季 0.55元
105第4季 0.05元
106第1季 -0.17元
106第2季 -0.04元
106第3季 0.57元
106第4季 3.8元
107第1季 -0.19元
107第2季 0.18元
107第3季 0.86元
107第4季 0.09元
108第1季 -0.01元
