
105第3季 -0.52% -2.96% 5.00% 0.52% 0.73% 15.78元
105第4季 3.18% 0.59% 2.32% 0.00% 0.21% 16.21元
106第1季 7.76% 5.41% 7.86% 1.14% 1.65% undefined
106第2季 7.91% 5.90% 5.87% 0.98% 1.38% undefined
106第3季 5.15% 2.71% 11.60% 1.82% 2.58% undefined
106第4季 5.39% 3.11% 8.02% 1.25% 1.82% 17.03元
107第1季 7.58% 5.55% 3.38% 0.5% 0.71% 17.14元
107第2季 4.94% 3.08% -6.86% -1.26% -1.98% 15.66元
107第3季 -0.36% -2.39% -14.25% -2.38% -3.74% 14.96元
107第4季 2.78% 0.76% -8.58% -1.51% -2.34% 14.44元
108第1季 3.62% 1.42% 16.7% 2.68% 4.09% 15.09元
108第3季 -0.66% -2.76% -1.24% -0.17% -0.34% 14.89元
