
104第4季 0.43元
105第1季 0.55元
105第2季 0.11元
105第3季 -0.48元
105第4季 -0.04元
106第1季 -0.62元
106第2季 -0.41元
106第3季 -0.18元
106第4季 -1元
107第1季 -0.52元
107第2季 -0.56元
107第3季 -0.62元
107第4季 -0.72元
108第1季 0.06元
108第2季 -0.08元
108第3季 -0.26元
108第4季 -0.36元
