
104第4季 -0.67元
105第1季 -0.66元
105第2季 -0.16元
105第3季 -0.62元
105第4季 -1.09元
106第1季 0.25元
106第2季 0.19元
106第3季 0.09元
106第4季 0.15元
107第1季 0.2元
107第2季 0.16元
