
104第4季 -0.09元
105第1季 -0.18元
105第2季 -0.12元
105第3季 -0.18元
105第4季 -0.04元
106第1季 -0.24元
106第2季 -0.04元
106第3季 0.33元
106第4季 -0.21元
107第1季 0.2元
107第2季 -0.06元
107第3季 -0.08元
107第4季 -0.15元
108第1季 -0.05元
