
105第3季 -1.10% -6.45% -4.01% -0.18% -0.73% 10.11元
105第4季 4.72% 0.36% -46.39% 0.00% -11.15% 10.31元
106第1季 2.96% -1.94% -7.99% -0.66% -1.65% undefined
106第2季 1.04% -3.76% 0.05% 0.00% 0.00% undefined
106第3季 -0.60% -5.42% 12.90% 0.00% 3.13% undefined
106第4季 1.76% -2.57% 4.44% 0.72% 1.18% 10.89元
107第1季 2.14% -2.77% 2.41% 0% 0.63% 10.91元
107第2季 3.08% -2.37% 14.14% 1.58% 3.11% 11.22元
107第3季 0.5% -4.06% -3.5% -0.16% -0.77% 11.01元
107第4季 -5.16% -9.24% -56.43% -6.11% -14.2% 9.45元
108第1季 0.02% -4.52% 7.76% 1.18% 2.2% 9.8元
108第3季 -5.11% -10.97% -18.3% -1.79% -3.91% 9.11元
108第4季 -2.18% -7.78% 3.29% 0.62% 0.88% 9.2元
109第1季 0.27% -6.53% -61.31% -5.43% -12.08% 7.88元
109第2季 -28.88% -40.65% 39.35% 1.69% 3.54% 8.42元
