105 361,732 398,784 500,699 507,513 711,920 567,599 558,268 460,248 531,527 574,536 672,675 797,659 
106 777,431 647,684 934,814 661,312 689,947 658,392 724,754 932,911 1,022,393 881,386 799,170 1,013,658 
107 925,108 1,045,697 962,507 916,927 1,020,987 754,970 948,089 962,330 835,736 1,097,140 834,946 - 
