
104第4季 0.19元
105第1季 0.30元
105第2季 0.67元
105第3季 0.20元
105第4季 1.66元
106第1季 0.90元
106第2季 0.83元
106第3季 1.01元
106第4季 0.81元
107第1季 0.24元
107第2季 0.64元
107第3季 -0.03元
107第4季 -0.02元
108第1季 0.13元
108第2季 -0.05元
108第3季 -0.07元
108第4季 0.45元
109第1季 0.12元
109第2季 -0.03元
