105 98,598 58,630 128,075 96,105 99,891 93,013 101,894 97,082 133,656 97,823 93,851 88,520 
106 77,782 85,619 102,683 93,415 65,295 81,265 62,805 112,309 133,207 113,355 75,215 267,513 
107 158,548 61,278 142,069 88,549 77,820 77,126 42,178 151,724 110,961 159,072 136,137 76,840 
108 176,356 41,490 90,299 53,522 71,597 69,048 74,262 57,993 61,979 85,560 49,309 98,774 
