
105第3季 13.74% 4.30% 3.10% 1.30% 2.00% 27.48元
105第4季 12.55% -3.31% -2.98% -0.80% -1.46% 27.55元
106第1季 14.27% 3.31% 2.89% 0.94% 1.35% undefined
106第2季 10.88% -3.41% -1.85% -0.53% -0.97% undefined
106第3季 12.91% 2.18% 2.94% 0.00% 1.61% undefined
106第4季 11.73% -2.74% -0.69% -0.39% -0.8% 25.98元
107第1季 10.78% -2.79% -1.92% 0% -1.65% 25.35元
107第2季 10.67% -4.12% -2.57% -0.72% -1.49% 25.15元
107第3季 14.77% 3.98% 3.6% 1.46% 2.23% 25.72元
107第4季 15.09% 2.76% 6.72% 1.76% 2.6% 26.51元
108第1季 0% 0% 0% 0% 0% 0元
108第2季 12.87% -1.2% -0.81% -0.25% -0.62% 26.72元
108第3季 13.67% 1.63% 0.76% 0.43% 0.46% 26.73元
108第4季 11.58% -3.19% -4.29% -0.1% -0.28% 26.14元
109第1季 13.52% 0.56% 1.27% 0.26% 0.24% 26.3元
