
104第4季 -0.04元
105第1季 -0.42元
105第2季 -0.20元
105第3季 -0.12元
105第4季 -0.17元
106第1季 0.18元
106第2季 -0.13元
106第3季 -0.23元
106第4季 0.16元
107第1季 -0.11元
107第2季 -0.18元
107第3季 -0.32元
107第4季 -0.33元
