
104第4季 -0.27元
105第1季 0.02元
105第2季 0.10元
105第3季 0.25元
105第4季 0.10元
106第1季 -0.20元
106第2季 0.01元
106第3季 0.02元
106第4季 -0.13元
107第1季 -0.23元
107第2季 0.03元
107第3季 -0.08元
107第4季 0.07元
108第1季 -0.09元
108第2季 -0.05元
108第3季 -0.07元
108第4季 0.21元
109第1季 0.01元
109第2季 -0.29元
