105 79,640 31,719 79,777 104,808 351,188 656,313 3,014,153 275,506 259,458 179,346 139,836 140,145 
106 148,456 145,217 586,639 272,806 333,546 388,835 165,071 171,348 210,588 148,965 241,404 118,259 
107 272,591 106,163 103,478 126,042 60,096 70,818 36,937 9,413 76,811 12,129 60,857 9,247 
108 74,621 47,250 38,097 47,969 72,815 25,408 66,628 32,143 50,373 25,559 154,381 59,414 
